revenue,qg_naics2022,qg_dandbstandardindustrycode,statuscode
6865851.0,660,3622,777040002
95971000.0,212,1098,777040002
0.0,475,2984,2
34133318.0,642,3548,777040002
24808692.0,698,4241,777040002
28220.0,720,3640,777040002
74301594.0,87,340,777040002
266165.0,633,3512,2
15161830.0,720,3640,777040002
10632967.0,626,3476,777040002
12466993.0,686,4183,777040002
337124.0,641,3652,777040002
20638212.0,641,3652,777040002
775200000.0,162,1340,777040002
190460712.0,563,2325,777040002
16530000.0,720,3640,777040002
88464.0,720,3640,777040002
4414442.0,601,3943,777040002
126729000.0,732,3803,777040002
7694676.0,661,3625,777040002
2327832.0,416,2190,777040002
29617498.0,679,4053,777040002
14453641.0,720,3640,777040002
0.0,732,3803,2
577677.0,84,333,777040002
7679881.0,720,3640,777040002
229777425.0,364,1982,777040002
178000.0,537,3308,777040002
41264455.0,852,3683,777040002
30477547.0,826,3664,777040002
28402000.0,706,4207,777040002
35568649.0,641,3652,777040002
235593.0,649,3597,777040002
0.0,191,1200,2
1258009000.0,47,163,777040002
21598619.0,633,3512,777040002
75360012.0,621,2462,777040002
465552000.0,537,3308,777040002
181985000.0,636,3526,777040002
246831.0,732,3803,777040002
7146000000.0,625,3474,777040002
3815000000.0,633,3512,777040002
74292902.0,694,3757,777040002
4471000.0,649,3597,2
33093184.0,813,4293,777040002
29236194.0,641,3652,777040002
10988912.0,797,4094,777040002
297169.0,786,4051,777040002
431569920.0,372,1889,777040002
8920091.0,698,4241,777040002
149427937.0,342,1828,777040002
156038620.0,695,3786,777040002
87954000.0,706,4207,777040002
41918632.0,331,1742,777040002
127144021.0,459,2771,777040002
220318.0,45,102,777040002
33512000.0,139,560,2
32503381.0,741,3725,777040002
0.0,633,3512,2
238324.0,732,3803,777040002
177955000.0,212,1098,777040002
10861420.0,416,2190,777040002
7417410.0,890,4416,777040002
8510573.0,769,4000,777040002
4705000.0,708,3692,777040002
6299027.0,732,3803,777040002
614898000.0,732,3803,777040002
103220484.0,720,3640,777040002
2326168.0,695,3786,777040002
0.0,679,4053,2
21494.0,683,4200,777040002
226383.0,552,2379,777040002
31114345.0,797,4094,777040002
3120952.0,33,82,777040002
8787115.0,695,3786,777040002
1198740.0,212,1098,2
38018354.0,633,3512,777040002
19952004.0,488,3098,777040000
33033218.0,722,3744,777040002
43908862.0,720,3640,777040002
26366284.0,834,3363,777040002
1945652.0,513,3231,777040002
104791.0,694,3757,777040002
243059644.0,686,4183,777040002
969921000.0,694,3757,777040002
341328.0,720,3640,777040002
20046000.0,698,4241,777040002
0.0,126,571,2
17084033.0,84,333,777040002
10408121.0,633,3512,777040002
102168000.0,641,3652,777040002
2300000.0,324,1777,777040002
48935000.0,200,1059,777040002
8991808.0,354,2035,777040002
3950672.0,888,4413,777040002
4664841000.0,698,4241,777040002
8029417.0,729,3708,777040002
65213000.0,622,3773,777040002
304182940.0,47,163,777040002
108640902.0,636,3526,777040002
76459184.0,720,3640,777040002
19906000.0,698,4241,777040002
18154000.0,641,3652,777040002
0.0,606,997,2
28170192.0,354,2035,777040002
111035309.0,564,2320,777040002
4550000000.0,732,3803,777040002
12038962.0,694,3757,777040002
75483585.0,354,2035,777040002
376585.0,633,3512,777040002
138158000.0,720,3640,2
8306782.0,694,3757,777040002
215881948.0,891,3264,777040001
